latitude,longitude,brightness
10.059,-64.887,312.5
10.341,-66.324,302.5
10.34,-66.335,316.4
9.947,-69.241,301.5
40.895,111.823,305.2
40.805,111.866,300.5
40.406,111.692,301.4
40.582,110.466,302.4
40.54,110.311,309.8
39.494,110.513,308
39.392,110.636,304.9
39.377,110.614,300.4
26.612,101.598,310.7
26.57,101.667,311
17.409,100.157,318.9
4.294,103.45,318.3
3.981,103.39,318.9
3.674,100.991,312.6
3.446,102.346,315.1
3.487,101.942,308.7
2.982,99.625,311.7
1.517,101.25,303.6
0.705,102.133,315.2
0.696,102.132,315.6
0.58,102.043,313.3
0.528,102.02,315.9
-20.228,-40.241,303.5
-20.239,-40.242,309.8
-4.176,-43.954,313.9
-4.178,-43.943,308.8
-4.185,-45.941,307.2
-4.705,-44.25,303
-4.559,-46.766,305.7
-5.009,-43.867,302.3
-5.459,-44.128,324
-17.629,-42.771,310.5
-17.649,-42.764,300.5
-41.4,147.273,319.6
-41.399,147.295,311.3
-41.386,147.289,340.7
-15.272,131.511,331.7
-15.239,131.547,341.2
-15.229,131.555,352.7
-15.23,131.546,339.4
-15.22,131.554,344.6
-15.172,131.565,339
-15.165,131.548,344.1
-15.166,131.539,372.4
-15.156,131.547,346.5
-15.157,131.537,358.9
-15.148,131.536,359
-15.139,131.535,347.3
-15.14,131.525,341.8
-15.13,131.533,335.5
-15.117,131.56,340.5
-15.12,131.541,341.1
-15.107,131.568,338.7
-15.108,131.558,340.8
-15.109,131.549,351.7
-15.111,131.54,375.9
-15.099,131.557,341.6
-15.1,131.548,388.2
-15.102,131.538,376
-11.847,133.431,327.6
-11.848,133.426,326.4
-3.306,128.962,318.1
-3.307,128.954,316.5
-2.576,121.386,316.2
-2.579,121.365,311.5
6.147,125.666,316
6.261,125.628,310
6.858,124.92,316
6.944,124.573,317.5
-29.99,124.439,343.9
-29.996,124.431,323.3
-29.981,124.43,333.7
-29.989,122.975,322.5
-29.989,122.972,323.9
-29.438,124.277,324
-28.966,125.97,328.6
-28.968,125.943,328.9
-28.951,125.969,350.3
-28.954,125.942,329.9
-28.959,125.99,327.8
-28.961,125.963,339.4
-28.963,125.936,329
-28.944,125.989,333.5
-28.947,125.962,336.8
-28.909,124.31,325.3
-28.256,131.062,329
-28.914,124.304,327.9
-28.479,124.484,333.8
-28.482,124.45,333.8
-28.484,124.48,331.9
-28.487,124.446,328.8
-27.868,128.595,336.1
-27.87,128.578,326.8
-27.323,125.297,344.9
-27.325,125.269,375.7
-27.328,125.241,362.1
-27.33,125.212,331.5
-27.308,125.296,413.2
-27.311,125.268,389.2
-27.313,125.239,354.4
-27.292,125.322,378.9
-27.294,125.294,383.3
-27.296,125.266,371.6
-27.299,125.238,342.6
-27.322,125.292,364.4
-27.324,125.264,380.8
-27.327,125.236,356.3
-27.305,125.319,349.4
-27.307,125.291,419.9
-27.309,125.263,369.7
-27.312,125.234,349.1
-27.288,125.345,339.2
-27.29,125.317,388.2
-27.293,125.289,372.1
-27.295,125.261,373.7
-27.276,125.316,363.5
-27.278,125.288,359.6
-27.281,125.259,394.9
-27.283,125.231,350.6
-27.264,125.286,362.6
-27.266,125.258,354.1
-27.239,125.227,332.3
-26.589,127.3,342
-26.695,125.995,338.3
-26.587,127.295,341.3
-26.702,125.991,332.1
-26.689,125.99,332.3
-26.642,124.424,338
-26.646,124.42,336.4
-26.579,124.478,355.2
-26.582,124.446,361.5
-26.567,124.445,386.3
-26.569,124.413,344.3
-26.581,124.471,363.2
-26.584,124.439,348.5
-26.566,124.47,348.7
-26.569,124.438,386.3
-26.572,124.406,332.6
-26.223,126.543,327.2
-25.241,125.405,342.2
-25.227,125.404,341.3
-25.233,125.423,338.4
-25.236,125.398,340.2
-24.948,122.301,332.2
-24.894,122.288,337.3
-24.893,122.284,333.7
-24.129,126.628,335.7
-24.131,126.607,331.5
-24.118,126.606,332.7
-21.511,139.66,339.8
-21.515,139.638,335
-22.766,126.146,341.8
-21.755,132.353,354.5
-21.729,132.408,351.5
-21.73,132.398,345.3
-21.708,132.424,349.3
-21.71,132.415,354.5
-21.702,132.404,357
-19.692,142.671,333.9
-19.675,142.667,330.6
-19.68,142.701,333
-19.688,142.662,330.3
-22.48,123.505,341.8
-22.465,123.503,333.3
-19.502,142.778,332.3
-19.502,142.695,358.8
-19.485,142.691,344
-19.49,142.726,330.3
-19.498,142.687,368.8
-19.414,142.586,332.5
-19.445,142.588,329.6
-19.412,142.58,334.3
-19.35,142.091,347.8
-19.357,142.056,337.1
-19.325,142.048,335.6
-19.361,142.089,334.7
-19.345,142.085,338.4
-19.32,142.042,330
-19.288,142.035,328.7
-19.239,142.024,342.8
-19.313,141.778,336.6
-19.32,141.744,342.4
-19.248,142.018,329.7
-19.232,142.014,331.4
-21.73,125.52,332.3
-21.715,125.541,361.5
-21.717,125.519,375.7
-19.21,141.791,338.4
-19.193,141.676,342.6
-19.177,141.7,332.6
-21.516,126.076,335.2
-21.497,126.134,388.9
-21.485,126.132,365.1
-21.487,126.113,342.9
-21.472,126.131,334.8
-21.457,126.149,364.5
-21.459,126.129,345.2
-18.886,142.466,332.5
-21.454,126.163,337.9
-21.456,126.144,354.3
-21.459,126.124,336.7
-18.85,142.454,331.2
-18.834,142.45,339.4
-18.817,142.446,345.1
-18.791,142.4,336.5
-18.847,142.445,333.1
-18.83,142.441,346.2
-18.813,142.437,335.3
-18.771,142.387,331.5
-18.687,142.449,355.5
-18.696,142.41,335.6
-18.686,142.444,356.4
-18.694,142.405,332.6
-18.675,142.241,335
-18.67,142.231,337.2
-20.119,134.017,338.3
-20.102,134.003,339.4
-20.079,134.03,359.2
-20.081,134.02,388.9
-20.063,134.07,335.4
-20,134.138,358.7
-20.001,134.128,333.7
-20,133.948,361.6
-19.97,133.915,342
-21.177,124.392,332.8
-18.455,142.131,329.9
-18.21,143.051,349.1
-18.219,143.007,328.7
-18.192,143.047,360.3
-18.201,143.003,332.2
-18.212,143.048,343.1
-18.195,143.043,367.5
-18.169,142.991,337.9
-18.397,141.883,341.3
-18.151,142.987,339.8
-18.133,142.983,348.5
-18.401,141.698,333.1
-18.116,142.979,353.1
-18.407,141.877,337.9
-18.169,142.983,338.3
-18.125,143.019,344.9
-18.134,142.975,343.9
-18.107,143.015,351.2
-18.116,142.971,344.8
-19.421,135.211,346
-19.423,135.2,348.1
-19.425,135.188,333.5
-19.411,135.21,376.5
-19.413,135.198,381.8
-19.415,135.186,346.6
-19.392,135.267,349.9
-19.393,135.255,361.6
-19.403,135.196,343.9
-19.405,135.184,333.2
-19.392,135.26,358.5
-19.394,135.248,331.9
-19.403,135.189,332.2
-20.551,126.017,335.2
-17.676,142.617,352.2
-17.685,142.575,335.7
-17.668,142.571,331.6
-17.676,142.609,353.2
-17.684,142.567,331.4
-17.667,142.563,336.8
-18.044,137.93,330.5
-18.009,137.982,334.2
-17.677,138.861,346.9
-17.682,138.854,339.1
-17.668,138.851,341.6
-17.909,133.697,334
-19.236,123.018,325.1
-18.703,127.189,353.7
-18.705,127.174,356.6
-16.422,141.462,326.8
-18.692,127.188,347.6
-18.694,127.173,328
-18.689,127.196,325.8
-18.691,127.181,332.5
-16.992,137.233,340.3
-16.995,137.215,332.4
-16.98,137.23,337.3
-17.066,133.566,355.7
-16.274,137.267,331
-16.456,135.292,337.4
-16.458,135.279,341.6
-16.441,135.25,363.1
-16.444,135.237,336.5
-16.434,135.255,345.1
-16.436,135.242,357.1
-16.419,135.279,340.1
-16.421,135.266,335.3
-17.593,125.051,330.2
-17.528,125.059,328
-17.53,125.038,328.7
-17.494,125.013,341.3
-17.496,124.993,338.6
-17.492,125.027,330.4
-17.494,125.006,337.5
-16.084,132.307,364.2
-17.12,124.141,336.6
-17.122,124.117,337.9
-17.127,124.136,329.3
-17.114,124.135,337.6
-17.116,124.111,330.2
-15.506,133.614,332.9
-16.794,122.923,324.3
-16.794,122.916,327.8
17.895,-92.488,304.5
17.844,-93.121,306.2
18.437,-93.167,332.6
19.289,-92.172,307.2
19.398,-92.039,313.6
19.396,-92.052,307.3
19.566,-92.242,310.4
19.564,-92.235,313.6
