latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
-19.281,142.583,327.4,2.4,1.5,2017-11-20,0115,T,71,6.0NRT,297.5,58.3,D
-19.272,142.415,323.3,2.4,1.5,2017-11-20,0115,T,48,6.0NRT,299.8,39.7,D
-19.288,142.575,329.1,2.4,1.5,2017-11-20,0115,T,69,6.0NRT,296.7,65.7,D
-19.221,141.815,338,2.1,1.4,2017-11-20,0115,T,84,6.0NRT,304.3,67.3,D
-19.263,142.084,329,2.2,1.5,2017-11-20,0115,T,43,6.0NRT,302.5,33.7,D
-17.344,128.923,339.3,2.2,1.4,2017-11-20,0115,T,87,6.0NRT,293.1,83.9,D
-19.274,142.061,349.8,2.2,1.4,2017-11-20,0115,T,94,6.0NRT,306.6,139,D
-19.276,142.082,352.1,2.2,1.5,2017-11-20,0115,T,95,6.0NRT,303.3,160.8,D
-17.357,128.92,332.6,2.2,1.4,2017-11-20,0115,T,75,6.0NRT,292.4,50.4,D
-17.383,128.915,340.7,2.2,1.4,2017-11-20,0115,T,88,6.0NRT,294.6,85.5,D
-17.392,128.892,330.9,2.2,1.4,2017-11-20,0115,T,75,6.0NRT,295.6,41.5,D
-17.396,128.913,340.1,2.2,1.4,2017-11-20,0115,T,88,6.0NRT,293.3,85.8,D
-17.381,128.909,330.8,2.2,1.4,2017-11-20,0115,T,59,6.0NRT,294.6,41.2,D
-17.394,128.907,340.5,2.2,1.4,2017-11-20,0115,T,88,6.0NRT,294.7,87.5,D
-17.407,128.905,328.6,2.2,1.4,2017-11-20,0115,T,61,6.0NRT,296.6,33.5,D
-19.318,141.757,333.3,2.1,1.4,2017-11-20,0115,T,66,6.0NRT,308.6,35.4,D
-19.349,141.686,340.9,2.1,1.4,2017-11-20,0115,T,86,6.0NRT,303.3,80.8,D
-19.499,142.73,337.7,2.5,1.5,2017-11-20,0115,T,84,6.0NRT,303.1,100.8,D
-19.513,142.728,338.5,2.5,1.5,2017-11-20,0115,T,85,6.0NRT,294.8,104,D
-19.516,142.753,330.6,2.5,1.5,2017-11-20,0115,T,70,6.0NRT,297.2,63.6,D
-19.532,142.775,323.5,2.5,1.5,2017-11-20,0115,T,26,6.0NRT,296.7,39.1,D
-19.704,144.161,346.3,3.3,1.7,2017-11-20,0115,T,92,6.0NRT,295.6,271.9,D
-19.7,144.155,342.8,3.3,1.7,2017-11-20,0115,T,89,6.0NRT,295.5,238.2,D
-19.716,144.154,325.4,3.3,1.7,2017-11-20,0115,T,54,6.0NRT,292.4,99.8,D
-17.732,129.321,326.4,2,1.4,2017-11-20,0115,T,27,6.0NRT,295.3,21.6,D
-19.674,142.729,336.3,2.5,1.5,2017-11-20,0115,T,80,6.0NRT,303.5,84.7,D
-17.736,129.333,329.7,2,1.4,2017-11-20,0115,T,65,6.0NRT,296.2,30.9,D
-17.764,129.347,328.6,2,1.4,2017-11-20,0115,T,57,6.0NRT,296.6,28.3,D
-19.68,142.722,342.2,2.5,1.5,2017-11-20,0115,T,88,6.0NRT,304.8,125.4,D
-17.78,129.363,334.9,2,1.4,2017-11-20,0115,T,80,6.0NRT,294.5,53.1,D
-17.793,129.361,333.1,2,1.4,2017-11-20,0115,T,78,6.0NRT,296.3,46.4,D
-19.425,135.213,343,1,1,2017-11-20,0115,T,58,6.0NRT,313.4,21.3,D
-19.426,135.223,341.1,1,1,2017-11-20,0115,T,50,6.0NRT,310.6,19.9,D
-19.442,135.204,337.2,1,1,2017-11-20,0115,T,75,6.0NRT,312.6,17,D
-19.443,135.213,356.7,1,1,2017-11-20,0115,T,97,6.0NRT,314.5,56.2,D
-19.452,135.212,337.8,1,1,2017-11-20,0115,T,76,6.0NRT,313.8,18.5,D
-19.454,135.221,343,1,1,2017-11-20,0115,T,84,6.0NRT,310.1,27.3,D
-19.461,135.21,335.5,1,1,2017-11-20,0115,T,71,6.0NRT,311.6,14.5,D
-19.463,135.22,337.5,1,1,2017-11-20,0115,T,75,6.0NRT,309.9,18.1,D
-19.982,134.142,354.1,1,1,2017-11-20,0115,T,95,6.0NRT,314.4,47.3,D
-19.984,134.152,350.6,1,1,2017-11-20,0115,T,92,6.0NRT,311.4,40.4,D
-19.96,133.936,342,1,1,2017-11-20,0115,T,32,6.0NRT,315.3,20.2,D
-19.962,133.946,348.4,1,1,2017-11-20,0115,T,79,6.0NRT,313.6,35.5,D
-19.963,133.956,347.7,1,1,2017-11-20,0115,T,89,6.0NRT,311.6,37,D
-19.991,134.141,340.5,1,1,2017-11-20,0115,T,79,6.0NRT,314.3,19.6,D
-19.993,134.15,409.2,1,1,2017-11-20,0115,T,100,6.0NRT,314.9,298,D
-19.972,133.954,361.3,1,1,2017-11-20,0115,T,100,6.0NRT,310.2,68.5,D
-19.974,133.964,344.2,1,1,2017-11-20,0115,T,86,6.0NRT,305.8,30.1,D
-20.082,134.069,333.2,1,1,2017-11-20,0115,T,43,6.0NRT,311,9.5,D
-20.109,134.009,346.8,1,1,2017-11-20,0115,T,89,6.0NRT,312.8,32.1,D
-20.118,134.007,334.9,1,1,2017-11-20,0115,T,38,6.0NRT,311.9,11.8,D
-20.488,126.047,358.1,3.1,1.7,2017-11-20,0115,T,98,6.0NRT,298.7,338.4,D
-20.494,126.076,329.5,3.1,1.7,2017-11-20,0115,T,56,6.0NRT,293.6,65.4,D
-20.514,126.102,341.8,3.1,1.7,2017-11-20,0115,T,85,6.0NRT,297.6,154.9,D
-20.523,126.07,330.8,3.1,1.7,2017-11-20,0115,T,33,6.0NRT,301.7,63.3,D
-20.529,126.099,345.5,3.1,1.7,2017-11-20,0115,T,89,6.0NRT,301.6,183.1,D
-21.67,132.434,356.8,1.1,1.1,2017-11-20,0115,T,69,6.0NRT,323.3,57.3,D
-20.513,126.097,332.1,3.1,1.7,2017-11-20,0115,T,60,6.0NRT,296.2,74.5,D
-20.528,126.093,350.3,3.1,1.7,2017-11-20,0115,T,93,6.0NRT,301.8,232.8,D
-21.716,132.386,348.9,1.1,1.1,2017-11-20,0115,T,81,6.0NRT,317.8,34.2,D
-21.718,132.397,347.2,1.1,1.1,2017-11-20,0115,T,51,6.0NRT,320.9,30.9,D
-21.764,132.444,342.1,1.1,1.1,2017-11-20,0115,T,83,6.0NRT,320.3,16.7,D
-21.766,132.455,356.7,1.1,1.1,2017-11-20,0115,T,97,6.0NRT,320,53,D
-21.775,132.453,340.4,1.1,1.1,2017-11-20,0115,T,73,6.0NRT,318.4,12.8,D
-21.173,124.437,327.4,3.9,1.8,2017-11-20,0115,T,31,6.0NRT,302.8,66.6,D
